runner_id,runner_version,model_id,model_version,locality_class,supports_tools,supports_streaming,max_context,ttft_ms,p50_token_ms,p95_token_ms,tokens_per_sec,success_rate,error_rate,timeout_rate,retry_success_rate,vram_peak_mb,ram_peak_mb,disk_io_mb_s,cost_per_1k_tokens_usd,availability_score,cold_start_ms,notes
sglang,,llama-3-1-instruct-70b,,local,true,true,128000,,,,,,,,,,,,0.00,,,"baseline-local;third_party_model_ref=llama-3-1-instruct-70b"
vllm,,llama-3-1-instruct-70b,,local,true,true,128000,,,,,,,,,,,,0.00,,,"baseline-local;third_party_model_ref=llama-3-1-instruct-70b"
ollama,,qwen2.5-32b-instruct,,local,true,true,,,,,,,,,,,,,0.00,,,"baseline-local;third_party_model_ref=qwen2.5-32b-instruct"
docker_model_runner,,mistral-nemo-instruct,,local,true,true,,,,,,,,,,,,,0.00,,,"baseline-local"
airllm,,llama-3-1-instruct-70b,,local,false,false,128000,,,,,,,,,,,,0.00,,,"baseline-low-vram-layer-streaming;third_party_model_ref=llama-3-1-instruct-70b"
openai_responses,aa_snapshot_2026-02-25,gpt-5-mini-minimal,2025-08,global_cloud,true,true,400000,660,14.73,,67.9,,,,,,,,0.00069,,,"baseline-cloud;source=artificialanalysis"
anthropic_messages,aa_snapshot_2026-02-25,claude-4-5-sonnet,2025-09,global_cloud,true,true,,1130,13.97,,71.6,,,,,,,,0.00600,,,"baseline-cloud;source=artificialanalysis"
google_vertex_openai,aa_snapshot_2026-02-25,gemini-2-5-pro,2025-06,region_bound_cloud,true,true,1000000,37880,7.39,,135.4,,,,,,,,0.00344,,,"baseline-cloud-region-bound;source=artificialanalysis"
groq_openai,aa_snapshot_2026-02-25,llama-3-3-instruct-70b,2024-12,global_cloud,true,true,128000,250,2.98,,335.5,,,,,,,,0.00064,,,"baseline-cloud-low-latency;source=artificialanalysis"
mistral_api,aa_snapshot_2026-02-25,mistral-large-3,2025-12,region_bound_cloud,true,true,,590,19.49,,51.3,,,,,,,,0.00075,,,"baseline-cloud;source=artificialanalysis"
